"","Date","Away","","Home","","Time/Status","Links"
"1","Sep. 7","No. 1

Mount Union",66,"Rose-Hulman",14,"Final","BX                                  PH              PH"
"2","Sep. 7","No. 3

Wheaton (Ill.)",38,"Monmouth",0,"Final","BX"
"3","Sep. 7","TCNJ",26,"No. 4

Muhlenberg",45,"Final","BX"
"4","Sep. 7","No. 5

North Central (Ill.)",43,"Christopher Newport",13,"Final","BX                 RC                                             PH"
"5","Sep. 6","No. 6

Salisbury",63,"Albright",28,"Final","BX"
"6","Sep. 7","Dubuque",7,"No. 7

UW-Whitewater",42,"Final","BX                                                PH"
"7","Sep. 7","No. 8

St. John's",14,"UW-Stout",7,"Final","BX                 RC                                                           PH"
"8","Sep. 6","No. 9

Delaware Valley",37,"Kean",7,"Final","BX                 RC"
"9","Sep. 7","No. 10

Wesley",69,"Franklin Pierce",0,"Final","BX                    PH"
"10","Sep. 7","UW-Stevens Point",7,"No. 11

John Carroll",21,"Final","BX"
"11","Sep. 6","No. 12

Chapman",45,"Pacific",14,"Final","BX                 RC              RC                 PH"
"12","Sep. 7","Westfield State",7,"No. 13

Union",42,"Final","BX"
"13","Sep. 7","Trinity International",3,"No. 14

St. Thomas",69,"Final","BX                 RC                 PH"
"14","Sep. 7","Lycoming",26,"No. 15

Susquehanna",42,"Final","BX                 RC"
"15","Sep. 7","No. 16

Hardin-Simmons",64,"Sul Ross State",0,"Final","BX                    PH"
"16","Sep. 7","No. 17

Redlands",35,"George Fox",19,"Final","BX                 RC                                             PH"
"17","Sep. 7","Carthage",19,"No. 18

UW-Oshkosh",20,"Final","BX                                                PH"
"18","Sep. 7","Simpson",10,"No. 19

Bethel",42,"Final","BX"
"19","Sep. 7","Gettysburg",10,"No. 21

Bridgewater",41,"Final","BX                 RC                 PH"
"20","Sep. 7","No. 22

Wartburg",60,"Greenville",21,"Final","BX"
"21","Sep. 7","No. 23

Berry",31,"Maryville (Tenn.)",10,"Final","BX"
"22","Sep. 7","Northwestern (Minn.)",12,"No. 24

Central",42,"Final","BX                 RC"
"23","Sep. 7","Concordia-Moorhead",14,"No. 25

UW-La Crosse",21,"Final - OT","BX                 RC"
"24","Sep. 5","Capital",7,"Westminster (Pa.)",66,"Final","BX                 RC"
"25","Sep. 5","Johns Hopkins",17,"Randolph-Macon",12,"Final","BX                 RC              RC"
"26","Sep. 5","Buena Vista",51,"Hamline",7,"Final","BX"
"27","Sep. 5","McMurry",10,"Trinity (Texas)",41,"Final","BX                 RC                               PH              PH              PH"
"28","Sep. 5","Trine",38,"Manchester",21,"Final","BX                    PH"
"29","Sep. 5","Belhaven",14,"Millsaps",28,"Final","BX"
"30","Sep. 5","Lake Forest",27,"Wisconsin Lutheran",15,"Final","BX                    PH              PH"
"31","Sep. 6","Nichols",37,"Dean",12,"Final","BX"
"32","Sep. 6","Stevenson",34,"Curry",0,"Final","BX                    PH"
"33","Sep. 6","Worcester State",0,"WPI",51,"Final","BX                 RC"
"34","Sep. 6","Alvernia",20,"Gallaudet",14,"Final","BX"
"35","Sep. 6","Anna Maria",19,"Becker",33,"Final","BX                    PH"
"36","Sep. 6","Framingham State",27,"Endicott",55,"Final","BX"
"37","Sep. 6","Hope",21,"Millikin",27,"Final","BX                 RC              RC              RC"
"38","Sep. 7","Maine Maritime",21,"SUNY-Maritime",24,"Final","BX"
"39","Sep. 7","Norwich",22,"Salve Regina",19,"Final","BX                 RC                               PH"
"40","Sep. 7","St. John Fisher",23,"Buffalo State",6,"Final","BX"
"41","Sep. 7","FDU-Florham",56,"Merchant Marine",48,"Final","BX"
"42","Sep. 7","Carnegie Mellon",24,"MIT",7,"Final","BX                 RC                 PH"
"43","Sep. 7","Alfred State",7,"Mass-Dartmouth",54,"Final","BX                 RC                               PH              PH"
"44","Sep. 7","Brockport",7,"Hobart",33,"Final","BX                 RC"
"45","Sep. 7","Allegheny",14,"RPI",52,"Final","BX                 RC"
"46","Sep. 7","Grove City",49,"Juniata",28,"Final","BX"
"47","Sep. 7","Morrisville State",39,"Bridgewater State",7,"Final","BX                 RC"
