"","play","odk","dn","dist","yds.to.endzone","gn.ls","result","play.type","game","drive","drive.outcome","next.score"
"1",1,"K",NA,NA,35,NA,NA,"KO",1,NA,NA,NA
"2",2,"D",1,10,78,3,"Complete","Pass",1,1,"Punt",NA
"3",3,"D",2,7,75,1,"Rush","Run",1,1,"Punt",NA
"4",4,"D",3,6,74,0,"Timeout",NA,1,1,"Punt",NA
"5",5,"D",3,6,74,7,"Complete","Pass",1,1,"Punt",NA
"6",6,"D",1,10,67,-4,"Rush","Run",1,1,"Punt",NA
"7",7,"D",2,14,71,13,"Complete","Pass",1,1,"Punt",NA
"8",8,"D",3,1,58,0,"Rush","Run",1,1,"Punt",NA
"9",9,"K",4,1,58,NA,NA,"Punt Rec",1,1,"Punt",NA
"10",10,"O",1,10,77,2,NA,"Run",1,2,"Punt",NA
"11",11,"O",2,8,75,0,"Incomplete","Pass",1,2,"Punt",NA
"12",12,"O",3,8,75,0,"Incomplete","Pass",1,2,"Punt",NA
"13",13,"K",NA,NA,75,NA,NA,"Punt",1,2,"Punt",NA
"14",14,"D",1,10,54,1,"Rush","Run",1,3,"Punt",NA
"15",15,"D",2,9,53,10,"Complete","Pass",1,3,"Punt",NA
"16",16,"D",1,10,43,-10,"Penalty","Pass",1,3,"Punt",NA
"17",17,"D",1,20,53,0,"Incomplete","Pass",1,3,"Punt",NA
"18",18,"D",2,20,53,11,"Complete","Pass",1,3,"Punt",NA
"19",19,"D",3,9,42,0,"Incomplete","Pass",1,3,"Punt",NA
"20",20,"K",4,9,58,NA,NA,"Punt Rec",1,3,"Punt",NA
"21",21,"O",1,10,89,5,"Complete","Pass",1,4,"Punt",NA
"22",22,"O",2,5,84,6,"Complete","Pass",1,4,"Punt",NA
"23",23,"O",1,10,78,-5,"Penalty",NA,1,4,"Punt",NA
"24",24,"O",1,15,83,1,NA,"Run",1,4,"Punt",NA
"25",25,"O",2,14,82,-7,"Sack","Pass",1,4,"Punt",NA
"26",26,"O",3,21,89,11,"Rush","Run",1,4,"Punt",NA
"27",27,"K",4,10,78,NA,NA,"Punt",1,4,"Punt",NA
"28",28,"D",1,10,61,3,"Rush","Run",1,5,"Punt",NA
"29",29,"D",2,7,58,1,"Rush","Run",1,5,"Punt",NA
"30",30,"D",3,6,57,-15,"Penalty","Pass",1,5,"Punt",NA
"31",31,"D",3,21,72,3,"Rush","Run",1,5,"Punt",NA
"32",32,"K",4,18,69,NA,NA,"Punt Rec",1,5,"Punt",NA
"33",33,"O",1,10,80,1,NA,"Run",1,6,"Turnover on Downs",NA
"34",34,"O",2,9,79,0,"Incomplete","Pass",1,6,"Turnover on Downs",NA
"35",35,"O",3,9,79,19,"Complete","Pass",1,6,"Turnover on Downs",NA
"36",36,"O",1,10,60,9,"Rush","Run",1,6,"Turnover on Downs",NA
"37",37,"O",2,1,51,7,"Complete","Pass",1,6,"Turnover on Downs",NA
"38",38,"O",1,10,44,7,"Complete","Pass",1,6,"Turnover on Downs",NA
"39",39,"O",2,3,37,4,"Rush","Run",1,6,"Turnover on Downs",NA
"40",40,"O",1,10,33,0,"Incomplete","Pass",1,6,"Turnover on Downs",NA
"41",41,"O",2,10,33,1,NA,"Run",1,6,"Turnover on Downs",NA
"42",42,"O",3,9,32,0,"Timeout",NA,1,6,"Turnover on Downs",NA
"43",43,"O",3,9,32,4,NA,"Run",1,6,"Turnover on Downs",NA
"44",44,"O",4,5,28,0,"Incomplete","Pass",1,6,"Turnover on Downs",NA
"45",45,"D",1,10,72,1,"Complete","Pass",1,7,"Punt",NA
"46",46,"D",2,9,71,1,"Complete","Pass",1,7,"Punt",NA
"47",47,"D",3,8,70,0,"Incomplete","Pass",1,7,"Punt",NA
"48",48,"K",4,8,70,NA,NA,"Punt Rec",1,7,"Punt",NA
"49",49,"O",1,10,72,43,"Complete","Pass",1,8,"TD",NA
"50",50,"O",1,10,29,0,"Incomplete","Pass",1,8,"TD",NA
"51",51,"O",2,10,29,11,"Penalty","Pass",1,8,"TD",NA
"52",52,"O",1,10,18,0,"Incomplete","Pass",1,8,"TD",NA
"53",53,"O",2,10,18,18,"Complete, TD","Pass",1,8,"TD",NA
"54",54,"K",1,NA,3,NA,"Good","Extra Pt.",1,8,"TD",NA
"55",55,"K",0,NA,65,NA,NA,"KO",1,NA,NA,NA
"56",56,"D",1,10,83,18,"Complete","Pass",1,9,"Punt",NA
"57",57,"D",1,10,65,1,"Complete","Pass",1,9,"Punt",NA
"58",58,"D",2,9,64,0,"Incomplete","Pass",1,9,"Punt",NA
"59",59,"D",3,9,64,5,"Scramble","Run",1,9,"Punt",NA
"60",60,"K",4,4,59,NA,NA,"Punt Rec",1,9,"Punt",NA
"61",61,"O",1,10,73,5,"Rush","Run",1,10,"Punt",NA
"62",62,"O",2,5,68,5,"Complete","Pass",1,10,"Punt",NA
"63",63,"O",1,10,63,0,"Rush","Run",1,10,"Punt",NA
"64",64,"O",2,10,63,0,"Incomplete","Pass",1,10,"Punt",NA
"65",65,"O",3,10,63,0,"Incomplete","Pass",1,10,"Punt",NA
"66",66,"K",4,10,63,NA,NA,"Punt",1,10,"Punt",NA
"67",67,"D",1,10,67,0,"Incomplete","Pass",1,11,"Punt",NA
"68",68,"D",2,10,67,0,"Penalty","Pass",1,11,"Punt",NA
"69",69,"D",2,10,77,7,"Complete","Pass",1,11,"Punt",NA
"70",70,"D",3,3,70,34,"Complete","Pass",1,11,"Punt",NA
"71",71,"D",1,10,36,3,"Complete","Pass",1,11,"Punt",NA
"72",72,"D",2,7,33,-10,"Sack","Pass",1,11,"Punt",NA
"73",73,"D",3,17,43,0,"Incomplete","Pass",1,11,"Punt",NA
"74",74,"K",4,17,43,NA,NA,"Punt Rec",1,11,"Punt",NA
"75",75,"O",1,10,99,0,"Penalty",NA,1,12,"TD",NA
"76",76,"O",1,10,99,99,"Complete, TD","Pass",1,12,"TD",NA
"77",77,"K",1,NA,3,NA,"Good","Extra Pt.",1,12,"TD",NA
"78",78,"K",0,NA,65,NA,NA,"KO",1,NA,NA,NA
"79",79,"D",1,10,75,8,"Rush","Run",1,13,"Punt",NA
