PLAY #,ODK,DN,DIST,YARD LN,GN/LS,RESULT,PLAY TYPE
1,K,,,35,,,KO
2,D,1,10,-22,3,Complete,Pass
3,D,2,8,-25,1,Rush,Run
4,D,3,7,-26,0,Timeout,
5,D,3,7,-26,7,Complete,Pass
6,D,1,10,-33,-4,Rush,Run
7,D,2,14,-29,13,Complete,Pass
8,D,3,2,-42,0,Rush,Run
9,K,4,2,-42,,,Punt Rec
10,O,1,10,-23,2,,Run
11,O,2,8,-25,0,Incomplete,Pass
12,O,3,8,-25,0,Incomplete,Pass
13,K,,,-25,,,Punt
14,D,1,10,-46,1,Rush,Run
15,D,2,9,-47,10,Complete,Pass
16,D,1,10,43,-10,Penalty,Pass
17,D,1,20,-47,0,Incomplete,Pass
18,D,2,20,-47,11,Complete,Pass
19,D,3,9,42,0,Incomplete,Pass
20,K,4,9,-42,,,Punt Rec
21,O,1,10,-11,5,Complete,Pass
22,O,2,5,-16,6,Complete,Pass
23,O,1,10,-22,-5,Penalty,
24,O,1,15,-17,1,,Run
25,O,2,14,-18,-7,Sack,Pass
26,O,3,21,-11,11,Rush,Run
27,K,4,10,-22,,,Punt
28,D,1,10,-39,3,Rush,Run
29,D,2,7,-42,1,Rush,Run
30,D,3,6,-43,-15,Penalty,Pass
31,D,3,21,-28,3,Rush,Run
32,K,4,18,-31,,,Punt Rec
33,O,1,10,-20,1,,Run
34,O,2,9,-21,0,Incomplete,Pass
35,O,3,9,-21,19,Complete,Pass
36,O,1,10,-40,9,Rush,Run
37,O,2,1,-49,7,Complete,Pass
38,O,1,10,44,7,Complete,Pass
39,O,2,3,37,4,Rush,Run
40,O,1,10,33,0,Incomplete,Pass
41,O,2,10,33,1,,Run
42,O,3,9,32,0,Timeout,
43,O,3,9,32,4,,Run
44,O,4,5,28,0,Incomplete,Pass
45,D,1,10,-28,1,Complete,Pass
46,D,2,9,-29,1,Complete,Pass
47,D,3,8,-30,0,Incomplete,Pass
48,K,4,8,-30,,,Punt Rec
49,O,1,10,-28,43,Complete,Pass
50,O,1,10,29,0,Incomplete,Pass
51,O,2,10,29,11,Penalty,Pass
52,O,1,10,18,0,Incomplete,Pass
53,O,2,10,18,18,"Complete, TD",Pass
54,K,1,,3,,Good,Extra Pt.
55,K,0,,-35,,,KO
56,D,1,10,-17,18,Complete,Pass
57,D,1,10,-35,1,Complete,Pass
58,D,2,9,-36,0,Incomplete,Pass
59,D,3,9,-36,5,Scramble,Run
60,K,4,4,-41,,,Punt Rec
61,O,1,10,-27,5,Rush,Run
62,O,2,5,-32,5,Complete,Pass
63,O,1,10,-37,0,Rush,Run
64,O,2,10,-37,0,Incomplete,Pass
65,O,3,10,-37,0,Incomplete,Pass
66,K,4,10,-37,,,Punt
67,D,1,10,-33,0,Incomplete,Pass
68,D,2,10,-33,0,Penalty,Pass
69,D,2,20,-23,7,Complete,Pass
70,D,3,13,-30,34,Complete,Pass
71,D,1,10,36,3,Complete,Pass
72,D,2,7,33,-10,Sack,Pass
73,D,3,17,43,0,Incomplete,Pass
74,K,4,17,43,,,Punt Rec
75,O,1,10,-1,0,Penalty,
76,O,1,10,-1,99,"Complete, TD",Pass
77,K,1,,3,,Good,Extra Pt.
78,K,0,,-35,,,KO
79,D,1,10,-25,8,Rush,Run
80,D,2,2,-33,0,Rush,Run
81,D,3,2,-33,0,Incomplete,Pass
82,K,4,2,-33,,,Punt Rec
83,O,1,10,-44,0,Incomplete,Pass
84,O,2,10,-44,3,Rush,Run
85,O,3,7,-46,0,Incomplete,Pass
86,K,4,7,-47,,,Punt
87,D,1,10,-16,2,Rush,Run
88,D,2,8,-18,79,Complete,Pass
89,D,1,3,3,2,Rush,Run
90,D,2,1,1,0,Rush,Run
91,D,3,1,1,0,Incomplete,Pass
92,D,4,1,1,1,"Rush, TD",Run
93,K,1,,3,,Good,Extra Pt. Block
94,K,0,,-35,,,KO Rec
95,O,1,10,-35,2,Rush,Run
96,O,2,8,-37,-10,Penalty,Run
97,O,2,18,-27,0,Timeout,
98,O,2,18,-27,2,Complete,Pass
99,O,3,16,-29,10,,Run
100,K,4,6,-39,,,Punt
101,D,1,10,48,0,Incomplete,Pass
102,D,2,10,48,6,Complete,Pass
103,D,3,4,42,14,Complete,Pass
104,D,1,10,28,2,Complete,Pass
105,D,2,8,26,3,Complete,Pass
106,K,3,5,23,,Timeout,
107,K,3,5,23,,Good,FG Block
108,K,,,-35,,,KO Rec
109,O,1,10,-29,3,,Run
110,O,2,7,-32,44,Complete,Pass
111,O,1,10,24,6,,Run
112,O,2,4,18,6,,Run
113,O,1,10,12,12,"Rush, TD",Run
114,K,1,,0,,Good,Extra Pt.
115,K,0,,-35,,,KO
116,D,1,10,-36,0,Rush,Run
117,D,2,10,-36,0,Incomplete,Pass
118,D,3,10,-36,10,Complete,Pass
119,D,1,10,-46,0,Incomplete,Pass
120,D,2,10,-46,1,Rush,Run
121,D,3,9,-47,19,Complete,Pass
122,D,1,10,34,0,Incomplete,Pass
123,D,2,10,34,-4,Fumble,Pass
124,D,3,14,38,4,Complete,Pass
125,D,4,10,34,-9,Sack,Pass
126,O,1,10,-43,0,Incomplete,Pass
127,O,2,10,-43,0,Incomplete,Pass
128,O,3,10,-43,4,,Run
129,K,4,6,-47,,,Punt
130,D,1,10,-18,-1,Rush,Run
131,D,2,11,-17,,Interception,Pass
132,O,1,10,47,-17,Fumble,Run
133,O,2,27,-36,3,,Run
134,O,3,24,-39,12,,Run
135,K,4,12,49,,,Punt
136,D,1,10,-21,1,Complete,Pass
137,D,2,9,-22,13,Complete,Pass
138,D,1,10,-35,5,Complete,Pass
139,D,2,5,-40,2,Complete,Pass
140,D,3,3,-42,5,Complete,Pass
141,D,1,10,-47,3,Rush,Run
142,D,2,7,50,2,Scramble,Pass
143,D,3,5,48,14,Complete,Pass
144,D,1,10,34,-5,Penalty,
145,D,1,15,39,16,Complete,Pass
146,D,1,10,23,21,Complete,Pass
147,D,1,2,2,2,"Complete, TD",Pass
148,K,1,,0,,Good,Extra Pt. Block
149,K,0,,-35,,,KO Rec
150,O,1,10,-16,5,Complete,Pass
151,O,2,5,-21,1,,Run
152,O,3,4,-22,30,Complete,Pass
153,O,1,10,48,0,,Run
154,O,2,10,48,6,,Run
155,O,3,4,42,5,Penalty,
156,O,1,10,37,3,,Run
157,O,2,7,34,2,,Run
158,O,3,5,32,0,Incomplete,Pass
159,O,4,5,32,0,Incomplete,Pass
160,D,1,10,-32,19,Complete,Pass
161,D,1,10,49,2,Scramble,Pass
162,D,2,8,47,3,Complete,Pass
163,D,3,5,44,-2,Sack,Run
164,K,4,7,46,,,Punt Rec
165,O,1,10,-23,17,Complete,Pass
166,O,1,10,-40,2,,Run
167,O,2,8,-42,0,Incomplete,Pass
168,O,3,8,-42,0,Timeout,
169,O,3,8,-42,47,Complete,Pass
170,O,1,10,11,0,Timeout,
171,O,1,10,11,0,Incomplete,Pass
172,O,2,10,11,11,"Rush, TD",Run
173,K,1,,0,,Good,Extra Pt.
174,K,0,,-35,,,KO
175,D,1,10,-11,-5,Penalty,Pass
176,D,1,15,-6,5,Complete,Pass
177,D,2,10,-11,20,Complete,Pass
178,D,1,10,-31,5,Complete,Pass
179,D,2,5,-36,0,Incomplete,Pass
180,D,3,5,-36,,"Interception, Def TD",Pass
181,K,0,,3,,Good,Extra Pt.
182,K,0,,-35,,,KO
183,D,1,10,-25,13,Complete,Pass
184,D,1,10,-38,2,Complete,Pass
185,D,2,8,-40,0,Incomplete,Pass
186,D,3,8,-40,3,Complete,Pass
187,D,4,5,-43,9,Complete,Pass
188,D,1,10,48,0,Incomplete,Pass
189,D,2,10,48,12,Complete,Pass
190,D,1,10,36,0,Incomplete,Pass
191,D,2,10,36,-8,Sack,Pass
192,D,3,18,44,11,Complete,Pass
193,D,4,7,33,5,Complete,Pass
194,O,1,10,-28,3,Rush,Run
