"","Date","Time","Location","Home.Team","Home.Team.Abbreviation","Away.Team","Away.Team.Abbreviation","Quarter","Team.Possession","Down","Distance.to.First.Down","Distance.to.Touchdown","Play.Type","Yards","Outcome","Points.Scored.","Completed.Pass.","Incomplete.Pass.","Run.","Touchdown.","Field.Goal.","Penalty.","Punt.","Sack.","Interception.","Safety.","Fumble.","Extra.Point.","Turnover.","Drive.Number","Team.Play.Number","Play.Description","Next_Score_Half","Drive_Score_Half","Drive_Outcome","Drive.Starting.Distance.to.Touchdown","Net.Yards","Half","Distance.to.First.Down2","is.Goal.Down","game.ID"
"1"," 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Johns Hopkins",1,"10",27,"pass","11","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,"ryan stevens pass complete to c. pantelis for 11 yards to the cwr16 (cikalo,nate; sais,dominic).","Touchdown",2,"Turnover on Downs",27,11,"1st",10,0," 9/3/2022CWRxJHU"
"2"," 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Johns Hopkins",1,"10",16,"pass","12","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,"ryan stevens pass complete to artie collins for 12 yards to the cwr04 (troch,gabe).","Touchdown",2,"Turnover on Downs",27,12,"1st",10,0," 9/3/2022CWRxJHU"
"3"," 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Johns Hopkins",1,"Goal",4,"rush","3","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3,"danny wolf rush for 3 yards to the cwr01 (tong,kaden; ayers,r.j.).","Touchdown",2,"Turnover on Downs",27,3,"1st",4,1," 9/3/2022CWRxJHU"
"4"," 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Johns Hopkins",2,"Goal",1,"rush","0","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,"danny wolf rush for no gain to the cwr01 (troch,gabe; torres,sean).","Touchdown",2,"Turnover on Downs",27,0,"1st",1,1," 9/3/2022CWRxJHU"
"5"," 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Johns Hopkins",3,"Goal",1,"pass","0","Incomplete Pass",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,5,"ryan stevens pass incomplete to artie collins (sais,dominic).","Touchdown",2,"Turnover on Downs",27,0,"1st",1,1," 9/3/2022CWRxJHU"
"6"," 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Johns Hopkins",4,"Goal",1,"pass","0","Incomplete Pass",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,6,"ryan stevens pass incomplete to quinn revere (ayers,r.j.).","Touchdown",2,"Turnover on Downs",27,0,"1st",1,1," 9/3/2022CWRxJHU"
"7"," 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Case Western Reserve",1,"10",99,"rush","2","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,"saxton,drew rush for 2 yards to the cwr03 (carson currie).","Opp_Touchdown",2,"Punt",99,2,"1st",10,0," 9/3/2022CWRxJHU"
"8"," 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Case Western Reserve",2,"8",97,"pass","Penalty","incomplete, penalty",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,"saxton,drew pass incomplete to knurek,riley, penalty jhu pass interference (a. garcia) 13 yards to the cwr16, no play.","Opp_Touchdown",2,"Punt",99,13,"1st",8,0," 9/3/2022CWRxJHU"
"9"," 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Case Western Reserve",1,"10",84,"rush","2","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3,"orsini,antonio rush for 2 yards to the cwr18 (j. vall-llobera).","Opp_Touchdown",2,"Punt",99,2,"1st",10,0," 9/3/2022CWRxJHU"
"10"," 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Case Western Reserve",2,"8",82,"pass","6","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,"saxton,drew pass complete to orsini,antonio for 6 yards to the cwr24 (j. vall-llobera; d. vankouteren).","Opp_Touchdown",2,"Punt",99,6,"1st",8,0," 9/3/2022CWRxJHU"
