"Date","Time","Location","Home.Team","Home.Team.Abbreviation","Away.Team","Away.Team.Abbreviation","Quarter","Team.Possession","Down","Distance.to.First.Down","Distance.to.Touchdown","Play.Type","Yards","Outcome","Points.Scored.","Completed.Pass.","Incomplete.Pass.","Run.","Touchdown.","Field.Goal.","Penalty.","Punt.","Sack.","Interception.","Safety.","Fumble.","Extra.Point.","Drive.Number","Team.Play.Number"
" 9/2/2022","7:00 pm","Pittsburgh, Pa.","Carnegie Mellon","CMU","Whitworth","WHTWTRAV","1st","Whitworth","1","10","78","pass","3","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
" 9/2/2022","7:00 pm","Pittsburgh, Pa.","Carnegie Mellon","CMU","Whitworth","WHTWTRAV","1st","Whitworth","2","7","75","rush","1","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2
" 9/2/2022","7:00 pm","Pittsburgh, Pa.","Carnegie Mellon","CMU","Whitworth","WHTWTRAV","1st","Whitworth","3","6","74","pass","7","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3
" 9/2/2022","7:00 pm","Pittsburgh, Pa.","Carnegie Mellon","CMU","Whitworth","WHTWTRAV","1st","Whitworth","1","10","67","rush","-4","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,4
" 9/2/2022","7:00 pm","Pittsburgh, Pa.","Carnegie Mellon","CMU","Whitworth","WHTWTRAV","1st","Whitworth","2","14","71","pass","12","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,5
" 9/2/2022","7:00 pm","Pittsburgh, Pa.","Carnegie Mellon","CMU","Whitworth","WHTWTRAV","1st","Whitworth","3","2","59","rush","0","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,6
" 9/2/2022","7:00 pm","Pittsburgh, Pa.","Carnegie Mellon","CMU","Whitworth","WHTWTRAV","1st","Whitworth","4","2","59","punt","Punt","Punt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,7
" 9/2/2022","7:00 pm","Pittsburgh, Pa.","Carnegie Mellon","CMU","Whitworth","WHTWTRAV","1st","Carnegie Mellon","1","10","77","rush","2","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
" 9/2/2022","7:00 pm","Pittsburgh, Pa.","Carnegie Mellon","CMU","Whitworth","WHTWTRAV","1st","Carnegie Mellon","2","8","75","pass","0","Incomplete Pass",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2
" 9/2/2022","7:00 pm","Pittsburgh, Pa.","Carnegie Mellon","CMU","Whitworth","WHTWTRAV","1st","Carnegie Mellon","3","8","75","pass","0","Incomplete Pass",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3
