"","Date","Time","Location","Home.Team","Home.Team.Abbreviation","Away.Team","Away.Team.Abbreviation","Quarter","Team.Possession","Down","Distance.to.First.Down","Distance.to.Touchdown","Points.Scored.","Completed.Pass.","Incomplete.Pass.","Run.","Touchdown.","Field.Goal.","Penalty.","Punt.","Sack.","Interception.","Safety.","Fumble.","Extra.Point.","Drive.Number","Team.Play.Number","Next_Score_Half","Drive_Score_Half","Drive.Starting.Distance.to.Touchdown","Net.Yards","Drive_Outcome","Half","Distance.to.First.Down2","is.Goal.Down","game.ID","fold","No_Score_Prob","Field_Goal_Prob","Opp_Field_Goal_Prob","Touchdown_Prob","Opp_Touchdown_Prob","EP","EPA"
"1"," 9/2/2022","7:00 pm","Pittsburgh, Pa.","Carnegie Mellon","CMU","Whitworth","WHTWTRAV","1st","Whitworth",1,"10",78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,"Opp_Touchdown",4,78,3,"Punt","1st",10,0," 9/2/2022CMUxWHTWTRAV",3,0.218632531825499,0.0805013578928507,0.0613809126642689,0.401297917262071,0.238187280355311,1.19913579403307,-0.407725006258123
"2"," 9/2/2022","7:00 pm","Pittsburgh, Pa.","Carnegie Mellon","CMU","Whitworth","WHTWTRAV","1st","Whitworth",2,"7",75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,"Opp_Touchdown",4,78,1,"Punt","1st",7,0," 9/2/2022CMUxWHTWTRAV",3,0.214876682694017,0.0907073165889248,0.066769737370121,0.365222992396221,0.262423270950716,0.791410787774945,-0.815634030837548
"3"," 9/2/2022","7:00 pm","Pittsburgh, Pa.","Carnegie Mellon","CMU","Whitworth","WHTWTRAV","1st","Whitworth",3,"6",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3,"Opp_Touchdown",4,78,7,"Punt","1st",6,0," 9/2/2022CMUxWHTWTRAV",2,0.228733521421043,0.0951199582583031,0.0775238833220396,0.293810499365636,0.304812137632978,-0.0242232430626027,1.60985833361653
"4"," 9/2/2022","7:00 pm","Pittsburgh, Pa.","Carnegie Mellon","CMU","Whitworth","WHTWTRAV","1st","Whitworth",1,"10",67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,"Opp_Touchdown",4,78,-4,"Punt","1st",10,0," 9/2/2022CMUxWHTWTRAV",2,0.208161917296164,0.0887050538666501,0.0528077017539353,0.430730023128466,0.219595303954784,1.58563509055392,-1.24968425261183
"5"," 9/2/2022","7:00 pm","Pittsburgh, Pa.","Carnegie Mellon","CMU","Whitworth","WHTWTRAV","1st","Whitworth",2,"14",71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,5,"Opp_Touchdown",4,78,12,"Punt","1st",14,0," 9/2/2022CMUxWHTWTRAV",3,0.249161322339741,0.0974775710712067,0.0710124422499806,0.309499721560851,0.27284894277822,0.335950837942094,0.887936053254963
"6"," 9/2/2022","7:00 pm","Pittsburgh, Pa.","Carnegie Mellon","CMU","Whitworth","WHTWTRAV","1st","Whitworth",3,"2",59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,6,"Opp_Touchdown",4,78,0,"Punt","1st",2,0," 9/2/2022CMUxWHTWTRAV",5,0.175272766261687,0.120217544312232,0.0561949498122253,0.397858734642431,0.250456004971425,1.22388689119706,-1.19631102591365
"7"," 9/2/2022","7:00 pm","Pittsburgh, Pa.","Carnegie Mellon","CMU","Whitworth","WHTWTRAV","1st","Whitworth",4,"2",59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,7,"Opp_Touchdown",4,78,-18,"Punt","1st",2,0," 9/2/2022CMUxWHTWTRAV",4,0.213461258417656,0.111022456713552,0.0875117483001336,0.290933964001697,0.297070572566961,0.0275758652834076,-1.26207564442576
"8"," 9/2/2022","7:00 pm","Pittsburgh, Pa.","Carnegie Mellon","CMU","Whitworth","WHTWTRAV","1st","Carnegie Mellon",1,"10",77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,"Touchdown",4,77,2,"Time Expired","1st",10,0," 9/2/2022CMUxWHTWTRAV",1,0.217715145472315,0.0812355328282051,0.0605626887273031,0.403991976974634,0.236494655997542,1.23449977914235,-0.562201124070828
"9"," 9/2/2022","7:00 pm","Pittsburgh, Pa.","Carnegie Mellon","CMU","Whitworth","WHTWTRAV","1st","Carnegie Mellon",2,"8",75,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,"Touchdown",4,77,0,"Time Expired","1st",8,0," 9/2/2022CMUxWHTWTRAV",2,0.221985921614969,0.0914050395335515,0.0683232441244366,0.352218130852391,0.266067663874652,0.672298655071521,-0.901102857036189
"10"," 9/2/2022","7:00 pm","Pittsburgh, Pa.","Carnegie Mellon","CMU","Whitworth","WHTWTRAV","1st","Carnegie Mellon",3,"8",75,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3,"Touchdown",4,77,21,"Time Expired","1st",8,0," 9/2/2022CMUxWHTWTRAV",3,0.240746033876285,0.0913033676434938,0.0805868287304186,0.275042326396052,0.312321443353751,-0.228804201964668,-1.80271474802654
