"Date","Time","Location","Home.Team","Home.Team.Abbreviation","Away.Team","Away.Team.Abbreviation","Quarter","Team.Possession","Down","Distance.to.First.Down","Distance.to.Touchdown","Play.Type","Yards","Outcome","Points.Scored.","Completed.Pass.","Incomplete.Pass.","Run.","Touchdown.","Field.Goal.","Penalty.","Punt.","Sack.","Interception.","Safety.","Fumble.","Extra.Point.","Turnover.","Drive.Number","Team.Play.Number","Play.Description"
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Johns Hopkins","1","10","27","pass","11","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,"ryan stevens pass complete to c. pantelis for 11 yards to the cwr16 (cikalo,nate; sais,dominic)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Johns Hopkins","1","10","16","pass","12","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,"ryan stevens pass complete to artie collins for 12 yards to the cwr04 (troch,gabe)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Johns Hopkins","1","Goal","4","rush","3","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3,"danny wolf rush for 3 yards to the cwr01 (tong,kaden; ayers,r.j.)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Johns Hopkins","2","Goal","1","rush","0","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,"danny wolf rush for no gain to the cwr01 (troch,gabe; torres,sean)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Johns Hopkins","3","Goal","1","pass","0","Incomplete Pass",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,5,"ryan stevens pass incomplete to artie collins (sais,dominic)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Johns Hopkins","4","Goal","1","pass","0","Incomplete Pass",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,6,"ryan stevens pass incomplete to quinn revere (ayers,r.j.)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Case Western Reserve","1","10","99","rush","2","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,"saxton,drew rush for 2 yards to the cwr03 (carson currie)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Case Western Reserve","2","8","97","pass","Penalty","incomplete, penalty",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,"saxton,drew pass incomplete to knurek,riley, penalty jhu pass interference (a. garcia) 13 yards to the cwr16, no play."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Case Western Reserve","1","10","84","rush","2","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3,"orsini,antonio rush for 2 yards to the cwr18 (j. vall-llobera)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","1st","Case Western Reserve","2","8","82","pass","6","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,"saxton,drew pass complete to orsini,antonio for 6 yards to the cwr24 (j. vall-llobera; d. vankouteren)."
